osmid,rainfall_mm
480231136,0.0
47134122,0.0
465226140,0.0
538223034,0.0
481965575,0.0
479289625,0.0
479289624,0.0
585630296,0.0
538223039,0.0
173779737,0.0
763943432,0.0
633791817,0.0
22811143,0.0
667091616,0.0
633791818,0.0
32491168,0.0
833776895,0.0
654980640,0.0
32491200,0.0
1031066846,0.0
658073146,0.0
634147403,0.0
654980641,0.0
635367463,0.0
480261293,0.0
667083424,0.0
478347008,0.0
480231139,0.0
478347010,0.0
478347009,0.0
174035889,0.0
478348925,0.0
654734120,0.0
478356515,0.0
633276626,0.0
173779755,0.0
155907163,0.0
759540690,0.0
411890820,0.0
74619446,0.0
633299362,0.0
479616093,0.0
480890500,0.0
633858561,0.0
480890499,0.0
538223060,0.0
21567394,0.0
75538366,0.0
633266894,0.0
21581785,0.0
21665446,0.0
633266897,0.0
538223055,0.0
779493222,0.0
587055268,0.0
170502688,0.0
35037529,0.0
21581835,0.0
732247545,0.0
51511337,0.0
584419618,0.0
173779754,0.0
479565615,0.0
159677768,0.0
780398521,0.0
21573273,0.0
21584500,0.0
21581835,0.0
475217889,0.0
21584507,0.0
480250096,0.0
779477825,0.0
479734995,0.0
538223053,0.0
176174562,0.0
634197848,0.0
538223051,0.0
176204514,0.0
479734993,0.0
176204486,0.0
176204513,0.0
651983305,0.0
630437928,0.0
480237014,0.0
75561429,0.0
156566851,0.0
639917665,0.0
633816569,0.0
833778547,0.0
314507682,0.0
651159638,0.0
465226134,0.0
632753730,0.0
633574722,0.0
75058601,0.0
784982415,0.0
22384654,0.0
786076258,0.0
21669603,0.0
474523285,0.0
632510009,0.0
474301017,0.0
459186770,0.0
763525864,0.0
174035888,0.0
481651000,0.0
173166846,0.0
632225561,0.0
753817514,0.0
474301019,0.0
474301018,0.0
650012760,0.0
633262424,0.0
480250099,0.0
843410857,0.0
395443687,0.0
21809811,0.0
585630264,0.0
786466933,0.0
652189908,0.0
576465062,0.0
584496503,0.0
584496505,0.0
748657114,0.0
633846400,0.0
121874705,0.0
480488524,0.0
640017440,0.0
638282564,0.0
786104793,0.0
638282560,0.0
480223744,0.0
174407830,0.0
584492442,0.0
465269955,0.0
176174561,0.0
661944137,0.0
465269954,0.0
639872237,0.0
643819663,0.0
21581796,0.0
581766308,0.0
479605911,0.0
710062599,0.0
479565613,0.0
633340452,0.0
152783801,0.0
160588642,0.0
479284866,0.0
174262771,0.0
303311928,0.0
763524409,0.0
51511339,0.0
459186769,0.0
21701074,0.0
532351088,0.0
176298699,0.0
584419622,0.0
696431881,0.0
479540202,0.0
584419619,0.0
584419620,0.0
635249664,0.0
75067163,0.0
174262833,0.0
174262807,0.0
585630297,0.0
585630298,0.0
632757647,0.0
486523005,0.0
1369963424,0.0
21805134,0.0
632760161,0.0
174262765,0.0
486523006,0.0
632763142,0.0
632763140,0.0
632763143,0.0
632763141,0.0
156566844,0.0
833778873,0.0
21940368,0.0
22694034,0.0
127219027,0.0
654877041,0.0
649338096,0.0
28382649,0.0
831610969,0.0
475075260,0.0
888048851,0.0
21940400,0.0
481116722,0.0
481602939,0.0
481099781,0.0
173791983,0.0
762801887,0.0
479302146,0.0
481100997,0.0
538223011,0.0
21932007,0.0
630411026,0.0
666807163,0.0
666807164,0.0
22811726,0.0
21932011,0.0
633145190,0.0
633149392,0.0
822470286,0.0
666807162,0.0
666823018,0.0
633589852,0.0
33297585,0.0
828703528,0.0
21815901,0.0
638964480,0.0
641127051,0.0
822153888,0.0
676219471,0.0
480698851,0.0
173791977,0.0
680253127,0.0
751767488,0.0
32491145,0.0
746681379,0.0
638442249,0.0
314508409,0.0
668391410,0.0
667122050,0.0
667346026,0.0
751767496,0.0
480252901,0.0
651937371,0.0
667080064,0.0
753817513,0.0
22382090,0.0
464207619,0.0
474334026,0.0
22676888,0.0
745360866,0.0
173713422,0.0
744224442,0.0
633218569,0.0
633219080,0.0
680254564,0.0
538836491,0.0
722186122,0.0
1240125787,0.0
638441005,0.0
638062201,0.0
641077575,0.0
482272536,0.0
22694123,0.0
655152626,0.0
638064147,0.0
631916973,0.0
631410399,0.0
651034752,0.0
631916970,0.0
369643714,0.0
537033776,0.0
22694098,0.0
481041456,0.0
630396040,0.0
539672629,0.0
747965728,0.0
481040664,0.0
810391832,0.0
632180183,0.0
630807079,0.0
482272533,0.0
718294662,0.0
22694120,0.0
718294666,0.0
656788447,0.0
631454251,0.0
369448880,0.0
1353091142,0.0
630396041,0.0
638439950,0.0
722186121,0.0
1166325869,0.0
482273632,0.0
1240125788,0.0
634047552,0.0
718294664,0.0
482039847,0.0
170237392,0.0
482039841,0.0
445716716,0.0
649414176,0.0
632763480,0.0
632763482,0.0
478320781,0.0
668173642,0.0
478320780,0.0
635477752,0.0
478320786,0.0
478320785,0.0
170006848,0.0
633011815,0.0
633012093,0.0
546460385,0.0
632924827,0.0
248820792,0.0
462880256,0.0
632988472,0.0
632988470,0.0
632988471,0.0
627707278,0.0
836284000,0.0
627707277,0.0
479291746,0.0
666815650,0.0
874043279,0.0
478357152,0.0
749513817,0.0
776898784,0.0
478357692,0.0
633182923,0.0
23126209,0.0
445282984,0.0
480921264,0.0
651183268,0.0
668185192,0.0
477930088,0.0
35037538,0.0
1124074831,0.0
1215229386,0.0
747360394,0.0
1313410360,0.0
827242995,0.0
22919331,0.0
22019836,0.0
633865721,0.0
749501203,0.0
459186764,0.0
827193320,0.0
827193321,0.0
459186765,0.0
538922838,0.0
479529431,0.0
479529432,0.0
22920149,0.0
661928080,0.0
747030843,0.0
633864736,0.0
747030841,0.0
747030842,0.0
669873336,0.0
479610398,0.0
465056817,0.0
1120987160,0.0
538922845,0.0
22012988,0.0
633205391,0.0
23125597,0.0
778465768,0.0
681286780,0.0
749419306,0.0
597571026,0.0
481606279,0.0
633809868,0.0
711732013,0.0
538922847,0.0
652572546,0.0
538922848,0.0
