osmid,rainfall_mm,avg_volume
74809489,0.0,0.0
74859236,0.0,0.0
175020577,0.0,0.0
480894181,0.0,0.0
658222354,0.0,0.0
"[636856262, 634551594, 480896395, 480896396, 658222386, 634490548, 634490552]",0.0,0.0
"[480894185, 718261913]",0.0,0.0
157566901,0.0,0.0
75394080,0.0,0.0
74809475,0.0,0.0
173767658,0.0,0.0
74860015,0.0,0.0
74860014,0.0,0.0
174402277,0.0,0.0
174778942,0.0,0.0
75061885,0.0,0.0
"[44584681, 634039523]",0.0,0.0
481669052,0.0,0.0
46649285,0.0,0.0
"[481666057, 726133533]",0.0,0.0
660497102,0.0,0.0
"[479172001, 726132478]",0.0,0.0
22933276,0.0,0.0
46649280,0.0,0.0
121898691,0.0,0.0
479311928,0.0,0.0
14458224,0.0,0.0
16685932,0.0,0.0
37354396,0.0,0.0
"[173767785, 539342418]",0.0,0.0
51511352,0.0,0.0
51511350,0.0,0.0
"[16688065, 459186771, 831044956]",0.0,0.0
173767590,0.0,0.0
"[763970856, 763970857, 358462341, 21805086]",0.0,0.0
"[649336169, 302367561, 639902539, 649957995, 735442798, 634046002, 637750965, 637750966, 358462393]",0.0,0.0
"[21805102, 782033487, 782033488, 641560144, 649183153, 633203159, 477928666, 633797758]",0.0,0.0
"[764082544, 764082545, 477928668, 477928665]",0.0,0.0
539313780,0.0,0.0
358462413,0.0,0.0
474181788,0.0,0.0
481655194,0.0,0.0
464288928,0.0,0.0
464288921,0.0,0.0
265150724,0.0,0.0
"[728837249, 644678235, 643377942]",0.0,0.0
666579802,0.0,0.0
"[747799101, 666579079]",0.0,0.0
"[632259560, 46340466, 666591220, 666591221, 666591222, 666591223, 666591224]",0.0,0.0
632259562,0.0,0.0
"[666579800, 747799100]",0.0,0.0
660072237,0.0,0.0
"[632262729, 666569247]",0.0,0.0
632262730,0.0,0.0
666581371,0.0,0.0
"[632264762, 666592623]",0.0,0.0
666582864,0.0,0.0
633326086,0.0,0.0
"[666574535, 666574533, 666574534, 632055623]",0.0,0.0
666582863,0.0,0.0
"[23513314, 649059110, 666559823, 632084625, 666559827, 666559830]",0.0,0.0
660072247,0.0,0.0
"[666826356, 666826360, 23513308, 666826365]",0.0,0.0
475134296,0.0,0.0
"[666561161, 666561162, 666561159]",0.0,0.0
475134298,0.0,0.0
"[632827532, 666038414, 666038415, 666038416, 666038417, 666038418, 666038419, 666038420, 666038421, 666038422, 666038423, 666038424, 23513305]",0.0,0.0
632266059,0.0,0.0
"[479300516, 33297701]",0.0,0.0
"[666036825, 654856185, 666036826, 660071499]",0.0,0.0
"[654854651, 632507412, 476106533]",0.0,0.0
74750872,0.0,0.0
"[660071500, 632265797]",0.0,0.0
"[666018279, 666018280, 23513321, 666018282, 666018283, 666018284, 666018285, 666018286, 666018287, 666018288, 666018289, 666018281]",0.0,0.0
"[660071185, 660071186, 632265797]",0.0,0.0
"[666564288, 666564289, 666036613, 666036614, 23513323, 666035381, 666035382, 666035383, 666035384]",0.0,0.0
"[639994433, 666034824, 666034825, 23513324, 776909653, 644899356, 644898814]",0.0,0.0
"[660071012, 666816964]",0.0,0.0
"[475136316, 666814637, 660070911]",0.0,0.0
"[632249196, 776937485, 666011790, 666011791, 666011792, 23513325]",0.0,0.0
"[660071013, 660071014, 660071015, 666814636, 74719099]",0.0,0.0
"[666814409, 475136317, 660070909]",0.0,0.0
"[476106529, 666818476]",0.0,0.0
"[666824709, 666824710, 666824711, 666824712, 666824713, 666824714, 666824715, 666824716, 666824717, 23513328, 632264920]",0.0,0.0
"[666814496, 666814497, 666814498, 666814499, 1116853508, 23513619, 632264504]",0.0,0.0
"[666814340, 632255677]",0.0,0.0
"[666035574, 475136318]",0.0,0.0
"[632255676, 23513618, 666813495, 666813496, 666813497, 666813498, 666813499, 666813500, 666813501, 666813502, 666813503]",0.0,0.0
666035577,0.0,0.0
"[666009473, 666009474, 666009475, 666010666, 666010667, 23513330]",0.0,0.0
"[23513601, 632263018]",0.0,0.0
"[660070878, 632262910]",0.0,0.0
632258752,0.0,0.0
"[660070608, 632266407]",0.0,0.0
"[23513331, 666008556, 666008581]",0.0,0.0
"[632262913, 666809898, 660070877]",0.0,0.0
"[660070609, 632266406]",0.0,0.0
"[666800233, 666800234, 745691413, 633797717, 633797752, 23513626]",0.0,0.0
475136319,0.0,0.0
"[666005314, 666007651, 666005316, 666005317, 666007654, 666005319, 666007653, 666005321, 666007652, 666007655, 23513334, 666008221, 666008222]",0.0,0.0
75521621,0.0,0.0
585630278,0.0,0.0
"[22697937, 651145721, 740832647]",0.0,0.0
"[475136320, 740832644]",0.0,0.0
"[740832645, 585630279]",0.0,0.0
"[74483192, 476986392, 785777851, 740832646]",0.0,0.0
476986391,0.0,0.0
22382091,0.0,0.0
"[633184722, 173713407]",0.0,0.0
"[635487024, 727850466, 635488550, 16891106]",0.0,0.0
475132223,0.0,0.0
"[155954288, 747796381]",0.0,0.0
"[666560850, 666560844, 666560846]",0.0,0.0
22384616,0.0,0.0
"[585711240, 666000897]",0.0,0.0
"[22718367, 798234102, 798234103]",0.0,0.0
"[476719988, 660082934]",0.0,0.0
"[475132225, 475132226]",0.0,0.0
"[709844931, 709844933, 728943911, 632587978, 640177521, 736303831]",0.0,0.0
"[475132224, 747796378, 636825868, 649903628]",0.0,0.0
74914974,0.0,0.0
"[649763170, 649774443, 39962925, 649763171]",0.0,0.0
"[747788808, 74553769, 823396482, 655630555]",0.0,0.0
"[172065637, 74680083, 475134293, 172065638]",0.0,0.0
"[747796377, 16690125]",0.0,0.0
"[22291137, 661670906, 476109718, 661670905, 747402010]",0.0,0.0
"[655192135, 172065640, 172065643, 476109716, 476109717, 747402011, 747402012, 747402013, 747402014, 747402015]",0.0,0.0
"[478116171, 478116172, 173767685]",0.0,0.0
638244436,0.0,0.0
"[630391722, 22563371, 481880716, 737588534, 22694135, 22562940]",0.0,0.0
152301690,0.0,0.0
"[478124388, 478124389, 16902760, 152289388, 152301692]",0.0,0.0
"[478165029, 478165030, 478122501, 478122502, 765913656, 814874766, 478294261, 765913655, 771534648, 771534649, 771534650, 771534651]",0.0,0.0
"[478167911, 478167912, 478167913, 155923338, 771542571, 478125621, 478125622]",0.0,0.0
478124387,0.0,0.0
74859238,0.0,0.0
673761075,0.0,0.0
"[478126497, 478126498, 771542569, 152297194, 669872915, 152297684]",0.0,0.0
"[22964467, 538846525]",0.0,0.0
173767980,0.0,0.0
"[651012716, 771542565]",0.0,0.0
173166902,0.0,0.0
74859232,0.0,0.0
173767657,0.0,0.0
"[74859233, 478167915, 74863996, 478127209]",0.0,0.0
"[633806897, 478126979]",0.0,0.0
"[22964193, 478126499, 478126500, 478126980, 478126981, 771542570, 478167914, 152297685, 152297686]",0.0,0.0
23513315,0.0,0.0
"[666008790, 666008791, 632266200, 666008793, 666008792]",0.0,0.0
632461800,0.0,0.0
"[666011232, 666011233, 666011234, 666011235, 666011236, 666011237, 666011238, 666011239, 666011240, 666011241, 666011242, 632263346, 666011231]",0.0,0.0
632462706,0.0,0.0
632463701,0.0,0.0
"[666011792, 666011793, 666011794]",0.0,0.0
"[474665416, 397624469]",0.0,0.0
"[476106531, 474677983]",0.0,0.0
632503610,0.0,0.0
465468224,0.0,0.0
"[23513323, 666020492, 666020493, 666020494, 666020495]",0.0,0.0
"[476106532, 787017477, 474677982]",0.0,0.0
538747195,0.0,0.0
23513304,0.0,0.0
19804917,0.0,0.0
22697939,0.0,0.0
465452246,0.0,0.0
21694895,0.0,0.0
74497755,0.0,0.0
175878999,0.0,0.0
465585628,0.0,0.0
75521631,0.0,0.0
474181789,0.0,0.0
74527400,0.0,0.0
"[173792007, 780396202, 647614988, 762783533, 647615471]",0.0,0.0
"[173791984, 779487588]",0.0,0.0
"[661671265, 480890498, 630438073, 641061646]",0.0,0.0
74731116,0.0,0.0
"[480890497, 633267524, 745773525]",0.0,0.0
480890495,0.0,0.0
21677610,0.0,0.0
480890496,0.0,0.0
"[480488522, 480488523]",0.0,0.0
538223049,0.0,0.0
480231141,0.0,0.0
"[825701984, 480231140, 351305510, 351305511, 630441430, 830583806]",0.0,0.0
"[630439201, 746640124, 75117647]",0.0,0.0
480231138,0.0,0.0
"[75120042, 746640125]",0.0,0.0
"[480890494, 630437927]",0.0,0.0
538223047,0.0,0.0
538223042,0.0,0.0
"[466004249, 667108510, 667108508, 751767494]",0.0,0.0
781728499,0.0,0.0
465226133,0.0,0.0
"[639350277, 75141901]",0.0,0.0
448937505,0.0,0.0
"[654996323, 314507683, 74502693, 639546955, 21666738, 660087576, 660087577, 660087578, 660087579, 654996318]",0.0,0.0
173166861,0.0,0.0
465314273,0.0,0.0
22384684,0.0,0.0
"[388180802, 639303559]",0.0,0.0
